ts,frame_idx,ok,bbox,offx,offy
1764761002.891972,818,1,None,,
1764761002.912036,819,1,None,,
1764761002.931988,820,1,None,,
1764761002.979338,821,1,None,,
1764761002.991966,822,1,None,,
1764761003.012037,823,1,None,,
1764761003.032004,824,1,None,,
1764761003.051979,825,1,None,,
1764761003.071997,826,1,None,,
1764761003.091965,827,1,None,,
1764761003.111987,828,1,None,,
1764761003.131983,829,1,None,,
1764761003.152075,830,1,None,,
1764761003.198923,831,1,None,,
1764761003.211836,832,1,None,,
1764761003.231907,833,1,None,,
1764761003.251847,834,1,None,,
1764761003.271912,835,1,None,,
1764761003.291883,836,1,None,,
1764761003.311849,837,1,None,,
1764761003.331912,838,1,None,,
1764761003.351934,839,1,None,,
1764761003.371919,840,1,None,,
1764761003.413743,841,1,None,,
1764761003.431808,842,1,None,,
1764761003.451875,843,1,None,,
1764761003.471842,844,1,None,,
1764761003.491844,845,1,None,,
1764761003.511859,846,1,None,,
1764761003.531872,847,1,None,,
1764761003.551862,848,1,None,,
1764761003.571860,849,1,None,,
1764761003.591874,850,1,None,,
1764761003.661204,851,1,None,,
1764761003.672062,852,1,None,,
1764761003.692185,853,1,None,,
1764761003.712060,854,1,None,,
1764761003.732082,855,1,None,,
1764761003.752092,856,1,None,,
1764761003.772078,857,1,None,,
1764761003.792096,858,1,None,,
1764761003.812063,859,1,None,,
1764761003.832063,860,1,None,,
1764761003.913099,861,1,None,,
1764761003.932151,862,1,None,,
1764761003.952064,863,1,None,,
1764761003.972056,864,1,None,,
1764761003.992179,865,1,None,,
1764761004.012052,866,1,None,,
1764761004.032098,867,1,None,,
1764761004.052139,868,1,None,,
1764761004.072211,869,1,None,,
1764761004.091992,870,1,None,,
1764761004.149384,871,1,None,,
1764761004.151822,872,1,None,,
1764761004.171921,873,1,None,,
1764761004.192031,874,1,None,,
1764761004.212034,875,1,None,,
1764761004.231966,876,1,None,,
1764761004.251978,877,1,None,,
1764761004.271997,878,1,None,,
1764761004.292111,879,1,None,,
1764761004.312064,880,1,None,,
1764761004.359596,881,1,None,,
1764761004.371835,882,1,None,,
1764761004.391854,883,1,None,,
1764761004.412060,884,1,None,,
1764761004.431842,885,1,None,,
1764761004.451801,886,1,None,,
1764761004.471791,887,1,None,,
1764761004.491844,888,1,None,,
1764761004.511791,889,1,None,,
1764761004.531796,890,1,None,,
1764761004.614776,891,1,None,,
1764761004.632146,892,1,None,,
1764761004.652115,893,1,None,,
1764761004.671892,894,1,None,,
1764761004.691923,895,1,None,,
1764761004.711860,896,1,None,,
1764761004.731874,897,1,None,,
1764761004.751863,898,1,None,,
1764761004.771837,899,1,None,,
1764761004.791925,900,1,None,,
1764761004.861949,901,1,None,,
1764761004.872079,902,1,None,,
